,affiliation_locations,affiliation_names,first_name,last_name
362,"['Buenos Aires, Argentina']",['Andres Mayo Mastering & Audio Post'],Andres,Mayo
363,"['College Park, MD, USA']",['University of Maryland'],Paul,Mayo
364,['None'],['Meyer Sound'],Bob,McCarthy
365,"['Belfast, Northern Ireland, UK']",['Qualcomm Technology International Ltd.'],Jonny,McClintock
366,['None'],['Microphone Parts'],Matthew,McGlynn
367,"['Sunnyvale, CA, USA']",['Wire Grind Audio'],Stephen,McGovern
368,['Appiano Gentile'],"['SAATI, SPA']",Jason,McIntosh
369,"['York, UK']",['University of York'],Thomas,McKenzie
370,"['Northridge, CA, USA']",['Harman Professional'],Brian,McLaughlin
371,['None'],['Epic Games'],Aaron,McLeran
372,"['Hollywood, CA, USA']",['Capitol Studios Mastering'],Ron,McMaster
373,"['Valencia, CA USA']",['Samsung Research America'],Elisabeth,McMullin
374,"['Philadelphia, PA, USA']",['Carpenter Technology Corporation'],Md,Mehedi
375,"['Southampton, UK']",['University of Southampton'],Dylan,Menzies
376,"['Severna Park, MD, USA', 'None']","['Peabody Conservatory, Johns Hopkins', 'Baltimore, MD, USA']",Scott,Metcalfe
377,"['New York City, NY, USA']",['Swan Studios NYC / Meyer Media LLC'],Andreas,Meyer
378,"['Berkeley, CA, USA']",['Meyer Sound Labs'],John,Meyer
379,['None'],['None'],Alan,Meyerson
380,"['Queens, NY, USA']",['Electro-Harmonix / New Sensor Corporation'],Jonathan,Michelson
381,"['Derby, UK']",['University of Derby'],Charles,Middlicott
382,"['San Diego, CA, USA']",['Perkins Coie LLP'],Thomas,Millikan
383,"['Old Lyme, CT, USA']",['Sennheiser'],Dave,Missal
384,"['Coral Gables, FL, USA']",['University of Miami'],Thomas,Mitchell
385,"['Tokyo, Japan']",['Sony Corporation'],Yuki,Mitsufuji
386,"['London, UK']",['Queen Mary University London'],Dave,Moffat
387,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Inma,Mohíno-Herranz
388,['Germany'],['DELTA Soundworks'],Ana,Monte
389,['None'],['IATSE'],Jenny,Montgomery
390,"['Marcoussis, France']",['L-Acoustics'],François,Montignies
391,['None'],['Gwangju Institute of Science and Technology'],Jung,Moon
392,"['Austin, TX, USA']",['KLRU-TV Austin Public Television'],Amanda,Moore
393,['None'],['Cnam'],Julian,Moreira
394,"['Buenos Aires, Capital Federal, Argentina']",['TITANIO'],Ezequiel,Morfi
395,"['Seattle, WA, USA', 'Seattle, WA, USA']","['Dansound Inc.', 'Friends of the 30th Street Studio']",Dan,Mortensen
396,"['New York, NY, USA']",['Avalanche Studios'],Ronny,Mraz
397,"['Munich, Germany']",['Harman Becker Automotive Systems GmbH'],Tobias,Münch
398,"['York, UK']",['University of York'],Damian,Murphy
399,"['Huddersfield, UK']",['University of Huddersfield'],Mark,Mynett
400,"['Tokyo, Japan']",['Evixar Inc.'],Yasuhiko,Nagatomo
401,"['Erlangen, Germany', 'Erlangen, Germany']","['Fraunhofer Institute for Integrated Circuits IIS', 'International Audio Laboratories']",Frederik,Nagel
402,"['Paris, France']",['IRCAM'],Judy,Najnudel
403,"['Tokyo, Japan', 'Tokyo, Japan']","['ONFUTURE Ltd.', 'SONA Corp.']",Masataka,Nakahara
404,"['Lancaster, PA,  USA']","['Audio Resource Group, Inc.']",Dave,Natale
405,['None'],['Jessie Davis Music'],DJ,Nebraska
406,"['Calabasas, CA, USA']",['XPERI/DTS'],Elias,Nemer
407,"['Quebec, Canada']",['Ubisoft'],Greig,Newby
408,"['Lannion, France']",['Orange Labs'],Rozenn,Nicol
409,"['Erlangen, Germany']",['Fraunhofer Institute for Integrated Circuits IIS'],Andreas,Niedermeier
410,"['Itzehoe, Germany']",['Fraunhofer Institute for Silicon Technology ISIT'],Florian,Niekiel
411,"['Santa Ana, CA, USA']",['Xperi/DTS'],Daekyoung,Noh
412,['UK'],['SoundChip'],Mark,Noon
413,"['Hannover, Germany']",['Leibniz Universität Hannover'],Marcel,Nophut
414,"['Basel, Switzerland']",['WSDG'],Dirk,Noy
415,"['New York, NY, USA']",['Empire State Building'],Shane,O’Donoghue
416,"['Gdansk, Poland']",['Gdansk University of Technology'],Piotr,Odya
417,"['Seoul, Korea']","['Samsung Electronics Co., Ltd.']",Eunmi,Oh
418,"['Tokyo, Japan']",['Sony Corporation'],Kazunobu,Ohkuri
419,"['Northridge, CA, USA']",['Harman International'],Sean,Olive
420,"['Fukuoka, Japan', 'Tokyo, Japan']","['Kyushu University', 'Onfuture Ltd.']",Akira,Omoto
421,"['Setagaya-ku, Tokyo, Japan']",['NHK Science & Technology Research Laboratories'],Kazuho,Ono
422,"['Setagaya-ku, Tokyo, Japan']",['NHK Science & Technology Research Laboratories'],Satoshi,Oode
423,"['Sacramento, CA, USA']",['Bonneville International'],Jason,Ornellas
424,"['Tokyo, Japan']",['Sony Corporation'],Keiichi,Osako
425,['Russia'],['PDMI RAS'],Konstantin,Osipov
426,['None'],['None'],Jim,Pace
427,"['None', 'St. Petersburg, Russia']","['SPb Audio R&D', 'Lab']",Mikhail,Pakhomov
428,"['Salford, UK']",['BBC Research and Development'],Matthew,Paradis
429,"['Evanston, IL, USA']",['Northwestern University'],Bryan,Pardo
430,"['Huddersfield, UK']",['University of Huddersfield'],Andrew,Parker
431,"['London, UK']",['Black Saloon Studios'],Mandy,Parnell
432,['None'],"['Uncivil/Gimlet, Another Round/Buzzfeed']",Chaquita,Paschal
433,"['London, UK']","['London College of Music, University of West London']",Justin,Paterson
434,"['San Diego, CA, USA']",['University of California San Diego'],Elliot,Patros
435,"['None', 'Union City, NJ  USA']","['G&J', 'Audio']",Gene,Paul
436,"['San Francisco Bay Area, CA']",['Neato Mastering'],Piper,Payne
437,"['Hannover, Germany']",['Leibniz Universität Hannover'],Jürgen,Peissig
438,"['Boston, MA, USA']",['Berklee College of Music'],Andrea,Pejrolo
439,"['Zhengzhou, China']",['Tianjin University'],He,Peng
440,['None'],"['Buenos Aires, Argentina']",Eduardo,Pereyra
441,"['Kgs. Lyngby, Denmark']",['Technical University of Denmark'],Andreas,Petersen
442,"['Niles, IL, USA']",['Shure Inc.'],Michael,Pettersen
443,"['Milan, Italy']",['Politecnico di Milano'],Mirco,Pezzoli
444,"['Rochester, NY, USA']",['University of Rochester'],Steve,Philbert
445,"['None', 'None', 'York, UK']","['BBC R&D', '- Salford, UK', 'University of York']",Chris,Pike
446,"['Krakow, Poland']",['AGH University of Science and Technology'],Adam,Pilch
447,"['Poland', 'Poland']","['Gdansk University of Technology', 'Hear Candy Mastering']",Magdalena,Piotrowska
448,"['Kraków, Poland']",['AGH University of Science and Technology'],Kamil,Piotrowski
449,"['Washington DC, USA']",['NAB'],Skip,Pizzi
450,"['Kgs. Lyngby, Denmark']",['Technical University of Denmark'],Daniel,Plewe
451,"['Erlangen, Germany']",['Fraunhofer Institute for Integrated Circuits IIS'],Jan,Plogsties
452,"['Guildford, Surrey, UK']",['University of Surrey'],Mark,Plumbley
453,"['Cleveland, OH, USA']",['Well Made Music'],Dave,Polster
454,"['St. Petersburg, Russia']",['PDMI RAS'],Anton,Porov
455,"['Lethbridge, Alberta, Canada']",['University of Lethbridge'],Amandine,Pras
456,"['Hannover, Germany']",['Leibniz Universität Hannover'],Stephan,Preihs
457,['None'],['None'],Howard,Price
458,"['San Diego, CA, USA']",['University of California San Diego'],Miller,Puckette
459,"['Beijing, China']",['Peking University'],Yue,Qiao
460,"['Beijing, China']","['Academy of Broadcasting Planning, SAPPRFT']",Yili,Qin
461,"['Beijing, China']",['Peking University'],Tianshu,Qu
462,['None'],['RafterMarsh'],Heather,Rafter
463,['Russia'],['Mariinsky Theatre'],Nadezhda,Rakhmanova
464,['None'],['Berklee College of Music'],DJ,Raydar Ellis
465,['None'],['None'],Julian,Raymond
466,['None'],['Pliant Technologies'],Mark,Rehfuss
467,"['London, UK']",['Queen Mary University of London'],Joshua,Reiss
468,['None'],['Aurasonic'],Steve,Remote
469,"['Tokyo, Japan']",['University of Electro-Communications'],Yi,Ren
470,"['London, UK']",['Abbey Road Studios'],Hashim,Riaz
471,"['Englewood CO, USA']",['Starz Entertainment'],Sean,Richardson
472,"['San Francisco, CA USA']",['Dolby Laboratories'],Jeffrey,Riedmiller
473,['None'],['None'],Mark,Rifkin
474,"['York, UK']",['University of York'],David,Rivas Méndez
475,"['Erlangen, Germany']",['International Audio Laboratories Erlangen'],Thomas,Robotham
476,"['Rochester, NY, USA']",['University of Rochester'],Stephen,Roessner
477,"['Boston, MA, USA']",['Berklee College of Music'],Susan,Rogers
478,"['New York, NY, USA']",['New York University'],Agnieszka,Roginska
479,"['New York, NY, USA']",['Emmis Broadcasting'],Alex,Roman
480,"['Berkeley, CA, USA', 'None']","['Coast Mastering', 'The Tape Project']",Michael,Romanowski
481,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Manuel,Rosa-Zurera
482,"['Santa Barbara, CA, USA']",['University of California Santa Barbara'],Kenneth,Rose
483,['None'],['Pliant Technologies'],Gary,Rosen
484,['None'],['ClearCom'],Rom,Rosenblum
485,"['New York, NY, USA']",['Arup'],Leonard,Roussel
486,['CNRS-Sorbonne Université'],['IRCAM'],David,Roze
487,"['None', 'St. Petersburg, Russia']","['SPb Audio R&D', 'Lab']",Victor,Rozhnov
488,"['Nashville, TN, USA', 'Nashville, TN, USA']","['The Blackbird Academy', 'Pogo Studio']",Mark,Rubel
489,"['York, UK', 'None']","['University of York', 'Coherent Audio Systems']",Tomasz,Rudzki
490,"['Erlangen, Germany', 'Erlangen, Germany']","['International Audio Laboratories Erlangen', 'Fraunhofer IIS']",Olli,Rummukainen
491,"['Valencia, CA, USA']",['Samsung Electronics'],Will,Saba
492,"['Philadelphia, PA, USA']","['Drexel University’s, Westphal College of Media Arts & Design']",Allen,Sabinson
493,['None'],"['Hamburg, Germany']",Maryam,Safi
494,"['Atlanta, GA, USA']","['Turner Sports Vice President, Operations and Technology, Turner Sports']",Tom,Sahara
495,['None'],['None'],Paula,Salvatore
496,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Héctor,Sánchez-Hevia
497,['Germany'],['Dear Reality GmbH'],Christian,Sander
498,"['London, UK']",['Queen Mary University of London'],Mark,Sandler
499,"['Beijing, China']","['Institute of Acoustics, Chinese Academy of Science']",Jinqiu,Sang
500,['None'],['None'],Rafa,Sardina
501,"['Milan, Italy']",['Politecnico di Milano'],Augusto,Sarti
502,"['Baton Rouge, LA, USA']",['Presonus Audio Electronics-Worx Audio Technologies'],Hugh,Sarvis
503,"['Tokyo, Japan']",['NHK Science & Technology Research Laboratories'],Yo,Sasaki
504,"['Washington, DC, USA']",['National Association of Broadcasters'],Brian,Savoie
505,['USA'],['Producer'],Elliot,Scheiner
506,"['Tuebingen, Germany']",['Eberhard Karls University Tuebingen'],Andreas,Schilling
507,"['Hannover, Germany']",['Leibniz Universität Hannover'],Roman,Schlieper
508,"['Schaan, Liechtenstein']",['NTi Audio AG'],Gregor,Schmidle
509,['None'],"['Los Angeles, CA, USA']",Al,Schmitt
510,"['Bexley, OH, USA']",['Capital University'],Neal,Schmitt
511,"['Liege, Belgium']",['University of Liege'],Thomas,Schmitz
512,['None'],['Minnesota Public Radio|American Public Media'],Corey,Schreppel
513,"['Towson, MD, USA']",['Towson University'],Adam,Schwartz
514,['None'],"['National Library Preservation Board, Mitchell Silberberg & Knupp LLP']",Eric,Schwartz
515,"['Philadelphia, PA, USA']",['Drexel University'],Toby,Seay
516,['None'],['Riedel'],Rick,Seegull
517,"['Rennes, France']",['Centrale-Supélec'],Renaud,Seguier
518,['None'],['Gimlet'],Haley,Shaw
519,"['Cleveland, OH, USA']",['The Telos Alliance'],Greg,Shay
520,['None'],[''],Harry,Shearer
521,['None'],['Radio Active Designs'],Geoff,Shearing
522,"['Auckland, New Zealand']",['Auckland University of Technology'],Maree,Sheehan
523,"['Nanjing, Jiangsu Province, China']",['Nanjing University'],Yong,Shen
524,"['Nanjing, China']",['Nanjing University'],Yuchen,Shen
525,['None'],['None'],Judy,Sherman
526,"['New York, NY']",['National Audio Theatre Festivals'],David,Shinn
527,"['Salford, Greater Manchester, UK', 'Salford, Greater Manchester, UK']","['University of Salford', 'Salsa Sound Ltd']",Ben,Shirley
528,"['Smithtown, NY USA']",['Shuster Sound'],Bob,Shuster
529,"['Stanford, CA, USA', 'Berkeley, CA, USA']","['Stanford University', 'Meyer Sound Laboratories']",Juan,Sierra
530,"['Los Angeles, CA, USA']","['Vice President of Technology and Strategy, Fox Networks']",Steve,Silva
531,"['New York, NY, USA']",['New York University'],Noah,Simon
532,"['Southampton, UK']",['University of Southampton'],Marcos,Simón
533,"['Troy, NY, USA']",['Rensselaer Polytechnic Institute'],Mary,Simoni
534,"['Paris, France', 'Le Mans, France']","['ARKAMYS', 'Le Mans University']",Daniil,Sinev
535,['Chicago & NYC'],['City University of New York / Sensaphonics'],Laura,Sinnott
536,"['Toms River, NJ,  USA']",['Synthetic Sound Labs'],Doug,Slocum
537,['None'],['RTS'],Ken,Smally
538,"['San Francisco, CA, USA']","['MainStreaming, Inc.']",Mike,Smith
539,"['Rochester, NY, USA']",['University of Rochester'],Sarah,Smith
540,"['McMahons Point, NSW, Australia']",['Dolby Laboratories'],Michael,Smithers
541,"['Princeton, NJ, USA']",['Princeton University'],Jeff,Snyder
542,"['Athens, OH, USA']","['Ohio University, School of Media Arts & Studies']",Kyle,Snyder
543,"['Krakow, Poland']",['AGH University of Science and Technology'],Katarzyna,Sochaczewska
544,"['New York, NY, USA']",['New York University'],Parichat,Songmuang
545,"['Montreal, QC, Canada']",['Triton Digital'],Samuel,Sousa
546,"['Los Angeles, CA, USA', 'None']","['PD Squared', 'Good Leche']",Jacques,Spillmann
547,"['Martinsville, NJ']",['Herb Squire'],Herb,Squire
548,['None'],['None'],Laurie,Squire
549,"['New York, NY, USA']",['New York University'],Sripathi,Sridhar
550,"['Gdansk, Poland']",['Gdansk University of Technology'],Andrzej,Sroczynski
551,"['Birmingham, UK']",['Birmingham City University'],Ryan,Stables
552,"['San Francisco, CA, USA']",['Dolby Laboratories'],Karen,Stackpole
553,"['None', 'None']","['NBCUniversal', 'ATSC Group']",Jim,Starzynski
554,"['Pittsburgh, PA, USA']",['Carnegie Mellon University'],Richard,Stern
555,['None'],['None'],Candace,Stewart
556,"['London, UK']",['Abbey Road Studios'],Mirek,Stiles
557,"['Key West, FL, USA']",['Independent'],James,Stoffo
558,"['Itzehoe, Germany']",['Fraunhofer Institute for Silicon Technology ISIT'],Fabian,Stoppel
559,"['Highland, NY, USA']",['Walters-Storyk Design Group'],John,Storyk
560,"['Bloomington, IN, USA']",['Indiana University'],Konrad,Strauss
561,"['Larkspur, CA, USA']",['S Systems Inc.'],John,Strawn
562,"['San Francisco, CA, USA', 'None']","['CJS Labs', 'Acoustical Society of America']",Christopher,Struck
563,"['York, UK']",['University of York'],Jessica,Stubbs
564,"['New York, NY, USA']",['Professional Wireless Systems'],Cameron,Stuckey
565,['Japan'],['Sharp Corporation'],Takeaki,Suenaga
566,"['Setagaya-ku, Tokyo, Japan']",['NHK'],Takehiro,Sugimoto
567,"['Valencia, CA, USA']",['Samsung Electronics'],Victoria,Suha
568,"['Pittsburg, PA, USA']",['Carnegie Mellon University'],Thomas,Sullivan
569,['Korea'],['Samsung Electronics'],Hosang,Sung
570,"['Karlsruhe, Germany', 'None']","['MVOID Group', 'Wien, Austria']",Alfred,Svobodnik
571,"['Cambridge, MA', 'None']","['iZotope, Inc.', 'Tufts University']",Bradford,Swanson
572,"['Kraków, Poland']",['AGH University of Science and Technology'],Adam,Szwajcowski
573,"['Bloomington, IN, USA', 'None']","['Indiana University', 'Stagg Sound Services, LLC']",Jamie,Tagg
574,"['Minato-ku, Tokyo, Japan']",['be Blue Co .'],Masumi,Takino
575,"['Callaghan, NSW, Australia']",['University of Newcastle'],Robert,Taylor
576,"['California, USA']",['Facebook'],Abesh,Thakur
577,"['Calabasas, CA, USA']",['XPERI/DTS'],Jeff,Thompson
578,"['Berkeley, CA, USA']",['Jessica Thompson Audio'],Jessica,Thompson
579,"['Atlanta, GA, USA']",['Turner Studios'],Erinn,Thorp
580,"['Oak Park, CA, USA']","['Acoustical consultant to Harman, ex. Harman VP Acoustical Engineering']",Floyd,Toole
581,"['London, UK']",['University of Westminster'],Rob,Toulson
582,"['Irvine, CA, USA']",['Blizzard Entertainment'],Andrea,Toyias
583,['None'],['Audible'],Alex,Trajano
584,['None'],"['Prairie Du Sac, WI, USA']",Gary,Trenda
585,"['Nakano-ku, Tokyo, Japan']",['SONA Co.'],Ritsuko,Tsuchikura
586,"['York, UK']",['University of York'],Benjamin,Tsui
587,"['Tokyo, Japan']",['Japan Television Network Corporation'],Joji,Urano
588,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Manuel,Utrilla-Manso
589,"['Paris, France']",['CNRS-Musé de la Musique'],Stéphane,Vaiedelich
590,"['Seattle, WA, USA']",['Microsoft'],George,Valavanis
591,"['Omaha, NE, USA']",['Orion Healthcare Technology'],Timothy,Vallier
592,"['Oldenburg, Germany']",['Fraunhofer Hör-Sprach- und Audio Technologie'],Steven,van de Par
593,"['Schwerzenbach, Switzerland']",['Archwave Technologies'],Arie,van den Broek
594,['None'],['None'],CJ,Vanston
595,"['New York City, NY USA']","['Senior Sound Designer, Avalanche Studios']",Dominic,Vega
596,['CNRS'],['IRCAM'],Isabelle,Viaud-Delmon
597,"['Tampere, Finland']",['Tampere University of Technology'],Tuomas,Virtanen
598,['None'],[''],Tony,Visconti
599,"['Northridge, CA, USA']",['JBL/Harman Professional Solutions'],Alexander,Voishvillo
600,"['Munich, Germany']",['Harman Becker Automotive Systems GmbH'],Adrian,von dem Knesebeck
601,"['Munich, Germany']",['Harman Becker Automotive Systems GmbH'],Friedrich,von Türckheim
602,"['Memphis, TN, USA']",['Soundways'],Gebre,Waddell
603,"['Itzehoe, Germany']",['Fraunhofer Institute for Silicon Technology ISIT'],Bernhard,Wagner
604,"['Calabasas, CA, USA']",['XPERI/DTS'],Oveal,Walker
605,"['Little Ferry, NJ, USA']",['Eventide'],Joe,Waltz
606,"['Beijing, China']",['Beijing Institute of Technology'],Jing,Wang
607,['None'],['AES'],Shusen,Wang
608,['None'],['None'],Yao,Wang
609,"['Salford, UK']",['University of Salford'],Lauren,Ward
610,"['Valley Village, CA, USA']",['SPARS'],Drew,Waters
611,"['London, UK']",['Queen Mary University London'],James,Weaver
612,"['Beijing, China']","['Institute of Acoustics, Chinese Academy of Sciences']",Tong,Wei
613,"['New York, NY, USA']",['City University of New York'],Barbara,Weinstein
614,"['New York, NY, USA']",['New York Public Radio'],George,Wellington
615,['USA'],"['Producer, mixer, songwriter']",Greg,Wells
616,"['San Francisco, CA, USA']","['HP, Inc.']",Teresa,Wells
617,"['Northridge, CA, USA']",['Harman International Inc.'],Todd,Welti
618,['None'],['None'],Edward,Wersocki
619,"['Manchester, UK']",['Naked Productions'],Eloise,Whitmore
620,"['Derby, Derbyshire, UK']",['University of Derby'],Bruce,Wiggins
621,"['Chicago, IL, USA']",['Shure Inc.'],Emily,Wigley
622,"['Hamburg, Germany']",['HAW Hamburg'],Eva,Wilk
623,"['Washington, DC, USA']",['Univision'],Fred,Willard
624,"['Salford, Greater Manchester, UK']",['University of Salford'],Alex,Wilson
625,"['New Milford, CT, USA', 'None']","['RealTraps', 'ethanwiner.com']",Ethan,Winer
626,"['Rio Rancho, NM, USA']",['Lectrosonics'],Karl,Winkler
627,"['Merrick, NY, USA']","['Seth B. Winner Sound Studios, Inc.']",Seth,Winner
628,"['San Francisco, CA, USA']","[""Women's Audio Mission""]",Terri,Winston
629,['None'],['Xperi Corporation'],Samara,Winterfeld
630,"['Karlsruhe, Germany']",['SCHOEPS GmbH'],Helmut,Wittek
631,"['Brooklyn, NY, USA']",['Willie Green Music'],Paul,Womack
632,"['Salford, Greater Manchester, UK']",['University of Salford'],James,Woodcock
633,"['Montreal, QC, Canada']",['McGill University'],Wieslaw,Woszczyk
634,"['Beijing, China']",['Peking University'],Xihong,Wu
635,"['Boston, MA, USA', 'None']","['M Works Studios/iZotope/Berklee College of Music', 'M Works Mastering']",Jonathan,Wyner
636,"['Troy, NY, USA']",['Rensselaer Polytechnic Institute'],Ning,Xiang
637,"['Beijing, China']",['Beijing Institute of Technology'],Xiang,Xie
638,"['Phoenix, AZ, USA']",['Central Sound at Arizona PBS'],Eric,Xu
639,"['Tokyo, Japan']",['University of Electro-Communications'],Asuka,Yamazato
640,"['Beijing, China']",['Beijing Institute of Technology'],Zhaoyu,Yan
641,['WA'],['Radsone Inc.'],Jay,Yoo
642,"['Hørsholm, Denmark']","['Force Technology, SenseLab']",Nick,Zacharov
643,"['Santa Barbara, CA, USA']",['University of California Santa Barbara'],Sina,Zamani
644,"['New York, NY, USA', 'None']","['Zeltec Service Labs', 'Zeltec Research & Development']",Dan,Zellman
645,"['Poznan, Poland']",['Zylia sp. z o.o.'],Tomasz,Zernicki
646,"['Beijing, China']","['Academy of Broadcasting Planning, SAPPRFT']",Jiandong,Zhang
647,"['Beijing, China']","['Institute of Acoustics, Chinese Academy of Sciences']",Chengshi,Zheng
648,"['Beaverton, OR, USA']",['Audio Precision'],Xinhui,Zhou
649,"['Stuttgart, Germany', 'Tübingen, Germany']","['Stuttgart Media University', 'Eberhard Karls University Tübingen']",Jonathan,Ziegler
650,"['Carle Place, NY, USA']",['SueMedia Productions'],Sue,Zizza
