,affiliation_locations,affiliation_names,first_name,last_name
130,"['Lexington, MA, USA', 'Cambridge, MA, USA']","['Audio Builders Workshop', 'Bridge Sound and Stage']",Owen,Curtin
131,"['Krakow, Poland']",['AGH University of Science and Technology'],Dorota,Czopek
132,"['Gdansk, Poland']",['Gdansk University of Technology'],Andrzej,Czyzewski
133,"['Scandicci, Italy', 'Gothenburg, Sweden']","['Powersoft S.P.A.', 'Dalbjorn Audio AB']",Klas,Dalbjörn
134,['None'],['McDSP'],Kris,Daniel
135,"['London, UK']",['Waves'],David,Darlington
136,"['Beaverton, OR, USA']",['Audio Precision'],Jayant,Datta
137,"['Cambridge, UK']",['Jade Electronics Ltd'],John,Dawson
138,"['Birmingham, UK']",['Birmingham City University'],Brecht,De Man
139,['Germany'],['DELTA Soundworks'],Daniel,Deboy
140,"['Natick, MA, USA', 'Lowell, MA, USA']","['MathWorks', 'UMass Lowell']",Charlie,DeVane
141,"['Parma, Italy']",['Contralto Audio srl'],Mario,Di Cola
142,"['Erlangen, Germany', 'Erlangen, Germany']","['International Audio Laboratories Erlangen, a joint institution of Universität Erlangen-Nürnberg and Fraunhofer IIS', 'Fraunhofer Institute for Integrated Circuits IIS']",Sascha,Dick
143,"['San Francisco, CA, USA']","['Magic Leap, Inc.']",Sam,Dicker
144,"['Erlangen, Germany']",['Fraunhofer IIS'],Sascha,Disch
145,"['Aran-Villette, Vaud, Switzerland']",['SoundChip'],Mark,Donaldson
146,"['Williamsburg, VA, USA']",['Kludge Audio'],Scott,Dorsey
147,['Rastatt Germany'],['Lawo AG'],Michael,Dosch
148,"['Los Angeles, CA, USA']",['The Recording Academy'],Maureen,Droney
149,['None'],['JetWave Wireless'],Jim,Dugan
150,"['New York, NY, USA', 'None']","['Flux Studios', 'Flux Studios']",Fab,Dupont
151,"['Erlangen, Germany']",['International Audio Laboratories Erlangen'],Bernd,Edler
152,"['York, UK']",['University of York'],Hauke,Egermann
153,"['Liege, Belgium']",['University of Liege'],Jean-Jacques,Embrechts
154,['None'],['None'],Steve,Epstein
155,"['La Jolla, CA, USA']",['University of California San Diego'],Tom,Erbe
156,"['Nashville, TN, USA']",['Belmont University'],Joseph,Erichsen
157,"['Mt. Vernon NY, USA']",['Best Audio'],Pete,Erskine
158,"['Berkeley, CA, USA']",['Meyer Sound Laboratories'],Pablo,Espinosa
159,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Rubén,Espino-Sanjosé
160,"['Uster, Zürich, Switzerland', 'Lausanne, Switzerland']","['Illusonic GmbH', 'EPFL']",Christof,Faller
161,"['Uster, Switzerland']",['Illusonic GmbH'],Alexis,Favrot
162,"['London, UK']",['Queen Mary University of London'],György,Fazekas
163,"['Southampton, Hampshire, UK']",['University of Southampton'],Filippo,Fazi
164,"['Erlangen, Germany']",['International Audio Laboratories Erlangen'],Esther,Feichtner
165,"['Huddersfield, West Yorkshire, UK']",['University of Huddersfield'],Steven,Fenton
166,"['Sydney, NSW, Australia']",['University of Technology'],Samuel,Ferguson
167,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Alfredo,Fernández-Toloba
168,"['Cambridge, MA, USA']","['Director of Engineering, iZotope']",Lisa,Ferrante-Walsh
169,"['Porto, Portugal']",['University of Porto'],Aníbal,Ferreira
170,['None'],['None'],Frank,Filipetti
171,"['Brewster, NY, USA']",['Tom Fine Audio Services'],Thomas,Fine
172,"['Erlangen, Germany']",['International Audio Laboratories Erlangen'],Johannes,Fischer
173,"['San Francisco, CA, USA']",['THX Ltd.'],Patrick,Flanagan
174,"['New York, NY, USA']",['Soundtrack Film & Television'],Tom,Fleischman
175,"['Erlangen, Germany']",['Fraunhofer Institute for Integrated Circuits IIS'],Felix,Fleischmann
176,"['Beaverton, OR, USA']",['Audio Precision'],Dan,Foley
177,['None'],['Saturday Night Live'],Stacey,Foster
178,"['New York, NY, USA']",['Telos Systems/Omnia Audio'],Frank,Foti
179,"['None', 'Staines-Upon Thames, Surrey, UK']","['Samsung Electronics R&D', 'Institute UK']",Holly,Francois
180,"['Salford, UK']",['BBC Research and Development'],Jon,Francombe
181,['None'],['ClearCom'],Craig,Fredrickson
182,"['Greendell, NJ, USA']",['JRF Magnetic Sciences Inc'],John,French
183,['None'],"['Partner & Head of Production, CHAPTER']",José,Frías
184,['None'],['None'],David,Frost
185,['None'],['Northeast Radio Watch'],Scott,Fybush
186,"['Los Angeles, CA, USA']",['Bakery Mastering'],Jett,Galindo
187,"['Mountain View, CA, USA']",['Google'],Ricardo,Garcia
188,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Joaquín,García-Gómez
189,"['Brighton, UK']",['Mix Messiah Productions'],Leslie,Gaston-Bird
190,"['Beijing, China']",['Peking University'],Zhongshu,Ge
191,"['Woodland Hills, CA USA', 'Salford, UK']","['Source Sound VR', 'University of Salford']",Linda,Gedemer
192,"['New York, NY, USA']",['New York University'],Paul,Geluso
193,"['Athens, Greece']",['National and Kapodistrian University of Athens'],Anastasia,Georgaki
194,"['Morgan Hill, CA, USA', 'Morgan Hill, CA, USA']","['Skyline Entertainment and Publishing', 'Tool Shed Studios']",Bt,Gibbs
195,['None'],['RTS'],Scott,Gillman
196,"['Alcalá de Henares, Madrid, Spain']",['University of Alcalá'],Roberto,Gil-Pita
197,['None'],['Clean Wireless'],Jason,Glass
198,"['Philadephia, PA, USA']",['DIY Recording Equipment'],Peterson,Goodwyn
199,"['Hamburg, Germany']",['Hamburg University of Applied Sciences'],Thomas,Görne
200,"['Ann Arbor, MI, USA']",['University of Michigan'],Mitchell,Graham
201,"['Guildford, Surrey, UK']",['University of Surrey'],Emad,Grais
202,"['Los Angeles, CA, USA']",['Osiris Studio'],Michael,Graves
203,"['Alexandria, VA']",['classical-discography.org'],Michael,Gray
204,"['Stow, OH, USA']",['Alteros'],Jackie,Green
205,"['Cambridge, MA, USA']",['David Griesinger Acoustics'],David,Griesinger
206,['None'],['None'],Florian,Grond
207,"['Lannion, France']",['Orange'],Laetitia,Gros
208,"['Boulder, CO, USA']",['AVA Networks'],Kevin,Gross
209,['None'],['Sterling Sound'],Adam,Grover
210,"['Rennes, France', 'Rennes, France']","['Centrale-Supélec', '3D Sound Labs']",Corentin,Guezenoc
211,"['Erlangen, Germany']",['International Audio Laboratories Erlangen'],Emanuël,Habets
212,"['Southampton, UK']",['University of Southampton'],Eric,Hamdan
213,"['Derby, Derbyshire, UK', 'Colchester, UK']","['University of Derby', 'Peter Mapp Associates']",Ross,Hammond
214,"['Chofu-shi, Tokyo, Japan']",['University of Electro-Communications'],Yoichi,Haneda
215,['None'],['None'],Kai,Harada
216,"['Nashville, TN, USA', 'Pago Pago, American Samoa']","['Telos Alliance', 'South Seas Broadcasting Corp.']",Kirk,Harnack
217,"['Montreal, QC, Canada']",['Audiokinetic'],Nathan,Harris
218,['Japan'],['Sharp Corporation'],Hisao,Hattori
219,"['Basel, Switzerland']",['Walters Storyk Design Group'],Gabriel,Hauser
220,"['Rochester, NY, USA']",['University of Rochester'],Michael,Heilemann
221,['CNRS-Sorbonne Université'],['IRCAM'],Thomas,Hélie
222,"['Salford, UK']",['BBC Research and Development'],Kristian,Hentschel
223,"['Erlangen, Germany', 'Erlangen, Germany']","['International Audio Laboratories Erlangen', 'Fraunhofer IIS']",Jürgen,Herre
224,['None'],['Richard L Hess'],Richard,Hess
225,"['Kgs. Lyngby, Denmark']",['Technical University of Denmark'],Franz,Heuchel
226,"['Munich, Germany']",['ALC NetworX GmbH'],Andreas,Hildebrand
227,"['Derby, Derbyshire, UK']",['University of Derby'],Adam,Hill
228,"['Superior, WI, USA', 'Superior, WI, USA']","['Crane Song Inc.', 'Dave Hill Designs']",David,Hill
229,"['Birmingham, UK']",['Birmingham City University'],Jason,Hockman
230,"['Bozeman, MT, USA']",['Montana State University'],Ethan,Hoerr
231,"['None', 'London, UK']","['Yamaha R&D', 'Centre']",Terry,Holton
232,"['Marcoussis, France']",['L-Acoustics'],Yoachim,Horyn
233,['None'],['Inveniem'],Michael,Howe
